enddate,samplesize,results,favorability_r,favorability_d
9/20/2016,758.0,1,-8.363729999999997,-4.673949999999998
10/12/2016,917.0,1,-9.50217,-3.9051899999999975
10/12/2016,917.0,1,-9.50217,-4.105550000000001
10/12/2016,917.0,1,-9.50217,-3.89526
10/13/2016,740.0,1,-5.794229999999999,-4.586199999999998
10/13/2016,740.0,1,-5.794229999999999,-4.934699999999999
10/13/2016,740.0,1,-5.794229999999999,-4.776719999999997
10/27/2016,1148.0,1,-5.486730000000001,-4.874630000000003
10/27/2016,1148.0,1,-5.486730000000001,-5.082740000000001
10/27/2016,1148.0,1,-5.486730000000001,-5.061570000000003
10/10/2016,806.0,1,-9.70805,-4.460149999999999
10/10/2016,806.0,1,-9.70805,-4.419089999999997
10/10/2016,806.0,1,-9.70805,-4.504489999999997
10/2/2016,805.0,1,-6.639180000000003,-3.8130299999999977
10/2/2016,805.0,1,-6.639180000000003,-3.9018900000000016
10/2/2016,805.0,1,-6.639180000000003,-3.71743
10/23/2016,2109.0,1,-0.3112599999999972,-1.493070000000003
10/23/2016,2109.0,1,-0.3112599999999972,-1.6049000000000009
10/23/2016,2109.0,1,-0.3112599999999972,-1.4857299999999969
10/2/2016,385.0,1,-11.55225,-4.402830000000002
10/2/2016,385.0,1,-11.55225,-4.4773
10/2/2016,385.0,1,-11.55225,-4.184980000000003
10/26/2016,1109.0,1,-6.235579999999999,-3.920140000000004
10/26/2016,1109.0,1,-6.235579999999999,-4.147730000000003
10/26/2016,1109.0,1,-6.235579999999999,-4.107219999999998
10/18/2016,925.0,1,-8.363819999999997,-6.946739999999998
10/18/2016,925.0,1,-8.363819999999997,-7.221310000000003
10/18/2016,925.0,1,-8.363819999999997,-7.000819999999997
10/28/2016,1794.0,1,-9.268749999999995,-6.791200000000004
10/28/2016,1794.0,1,-9.268749999999995,-6.836939999999999
10/28/2016,1794.0,1,-9.268749999999995,-6.818800000000003
10/25/2016,1135.0,1,-8.013350000000003,-3.959629999999997
10/25/2016,1135.0,1,-8.013350000000003,-4.206600000000002
10/25/2016,1135.0,1,-8.013350000000003,-4.146819999999998
10/24/2016,1119.0,1,-9.820120000000005,-2.970680000000001
10/24/2016,1119.0,1,-9.820120000000005,-3.228520000000003
10/24/2016,1119.0,1,-9.820120000000005,-3.157829999999997
9/19/2016,1000.0,1,-7.944000000000003,-4.681919999999998
9/19/2016,1000.0,1,-7.944000000000003,-4.521850000000001
9/19/2016,1000.0,1,-7.944000000000003,-4.4950800000000015
9/28/2016,933.0,1,-8.360120000000002,-5.298209999999997
9/28/2016,933.0,1,-8.360120000000002,-5.397820000000003
9/28/2016,933.0,1,-8.360120000000002,-5.310989999999997
