Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations
1158826,7-Jul-18,Alabama,Wetumpka,135 Granite Way,2,2,1,0,0,N/A
1156480,5-Jul-18,New York,Brooklyn,280 Herkimer St,0,4,0,0,0,N/A
1157073,5-Jul-18,New York,Albany,First St and Lexington Ave,0,4,0,0,0,N/A
1156528,5-Jul-18,California,Los Angeles,1600 block of W. 2nd Street,3,3,0,0,0,N/A
1156638,5-Jul-18,Virginia,Virginia Beach,1800 block of Atlantic Ave,0,6,0,0,1,N/A
1157733,5-Jul-18,Ohio,Lima,1440 Bellefontaine Ave,1,5,0,0,0,N/A
1155906,4-Jul-18,Georgia,Atlanta,5456 E Fayetteville Rd,1,3,0,0,0,N/A
1155567,3-Jul-18,Missouri,Saint Louis,1700 block of Billups Ave,1,5,0,0,0,N/A
1154998,3-Jul-18,District of Columbia,Washington,1700 block of Benning Rd NE,0,4,0,0,0,N/A
1154558,2-Jul-18,New York,Buffalo,Grape St,2,2,0,0,1,N/A
1153997,1-Jul-18,Illinois,Chicago,3400 block of W Walnut Ave,0,6,0,0,0,N/A
1153531,30-Jun-18,Maryland,Baltimore,4000 block of Penhurst Ave,0,6,0,0,0,N/A
1153134,30-Jun-18,Georgia,Ashburn,800 Block of W. Washington,1,6,0,0,2,N/A
1153471,30-Jun-18,New Jersey,Jersey City,Lexington Ave and John F Kennedy Blvd,0,5,0,0,1,N/A
1151584,28-Jun-18,Maryland,Annapolis,888 Bestgate Rd,5,0,0,0,1,N/A
1151355,27-Jun-18,California,Oakland,8901 MacArthur Boulevard,1,3,0,0,0,N/A
1151527,27-Jun-18,Texas,San Antonio,100 block of Holly Street,0,4,0,0,1,N/A
1151373,27-Jun-18,Connecticut,Hartford,124 Hillside Ave,0,4,0,0,0,N/A
1149910,25-Jun-18,Illinois,Chicago,3900 block of S Vincennes Ave,0,6,0,0,0,N/A
1148468,24-Jun-18,North Carolina,Sanford,109 S Steele St,1,5,0,1,1,N/A
1148678,24-Jun-18,Florida,Punta Gorda,2450 Harbour Dr,0,4,0,0,0,N/A
1148647,24-Jun-18,Florida,Indiantown,17068 SW Palm Beach St,0,4,0,0,0,N/A
1149173,24-Jun-18,Florida,Palm Beach Gardens (Riviera Beach),1200 block of W 35th St,1,3,0,0,0,N/A
1149463,24-Jun-18,Indiana,Gary,2500 block of Harrison Street,1,3,0,0,0,N/A
